cle_unique;colonne;valeur
11;nomEntreprise;Atos
11;noteMoyEntreprise;3.6
11;avis0;"""0"""
11;avis1;"""1"""
11;avis2;"""2"""
17;nomEntreprise;Atos-Syntel
17;noteMoyEntreprise;3.4
17;avis0;"""0"""
17;avis1;"""1"""
20;nomEntreprise;Atos Medical
20;noteMoyEntreprise;2.6
20;avis0;"""0"""
30;nomEntreprise;SolidWorks
30;noteMoyEntreprise;3.5
30;avis0;"""0"""
30;avis1;"""1"""
67;nomEntreprise;Multimedia France Productions
67;noteMoyEntreprise;1.0
67;avis0;"""0"""
74;nomEntreprise;UK Ministry of Defence
74;noteMoyEntreprise;3.5
74;avis0;"""0"""
111;nomEntreprise;Lacoste Traiteur
111;noteMoyEntreprise;3.5
111;avis0;"""0"""
111;avis1;"""1"""
115;nomEntreprise;CGIAR
115;noteMoyEntreprise;3.2
115;avis0;"""0"""
115;avis1;"""1"""
115;avis2;"""2"""
126;nomEntreprise;Volvo Cars
126;noteMoyEntreprise;4.1
126;avis0;"""0"""
126;avis1;"""1"""
130;nomEntreprise;Volvo Construction Equipment
130;noteMoyEntreprise;4.0
130;avis0;"""0"""
130;avis1;"""1"""
130;avis2;"""2"""
133;nomEntreprise;Volvo Information Technology
133;noteMoyEntreprise;3.5
133;avis0;"""0"""
133;avis1;"""1"""
133;avis2;"""2"""
154;nomEntreprise;CNH Industrial Capital
154;noteMoyEntreprise;3.9
154;avis0;"""0"""
157;nomEntreprise;SOTRAVO Filiale SOLOCAL GROUP
157;noteMoyEntreprise;3.0
157;avis0;"""0"""
165;nomEntreprise;Morgan Philips Group
165;noteMoyEntreprise;3.9
165;avis0;"""0"""
165;avis1;"""1"""
165;avis2;"""2"""
171;nomEntreprise;Montreal Associates
171;noteMoyEntreprise;4.3
171;avis0;"""0"""
171;avis1;"""1"""
186;nomEntreprise;Concordia University
186;noteMoyEntreprise;4.0
186;avis0;"""0"""
193;nomEntreprise;CRIM (Computer Research Institute of Montreal)
193;noteMoyEntreprise;3.5
193;avis0;"""0"""
193;avis1;"""1"""
212;nomEntreprise;ALTRAN
212;noteMoyEntreprise;0.0
212;avis0;"""0"""
212;avis1;"""1"""
226;nomEntreprise;Altran North America
226;noteMoyEntreprise;3.6
226;avis0;"""0"""
226;avis1;"""1"""
230;nomEntreprise;Altran Telnet
230;noteMoyEntreprise;2.0
230;avis0;"""0"""
242;nomEntreprise;Statkraft AS
242;noteMoyEntreprise;4.0
242;avis0;"""0"""
246;nomEntreprise;Sparklane
246;noteMoyEntreprise;3.4
246;avis0;"""0"""
246;avis1;"""1"""
246;avis2;"""2"""
253;nomEntreprise;ITS
253;noteMoyEntreprise;3.4
253;avis0;"""0"""
264;nomEntreprise;ITS Overlap
264;noteMoyEntreprise;3.0
264;avis0;"""0"""
264;avis1;"""1"""
267;nomEntreprise;Canon ITS
267;noteMoyEntreprise;3.2
267;avis0;"""0"""
289;nomEntreprise;cerema
289;noteMoyEntreprise;3.9
289;avis0;"""0"""
305;nomEntreprise;CALIDA Group
305;noteMoyEntreprise;4.0
305;avis0;"""0"""
358;nomEntreprise;Kendo
358;noteMoyEntreprise;2.8
358;avis0;"""0"""
358;avis1;"""1"""
388;nomEntreprise;Crédit Agricole d'Aquitaine
388;noteMoyEntreprise;3.4
388;avis0;"""0"""
391;nomEntreprise;Crédit Agricole
391;noteMoyEntreprise;0.0
391;avis0;"""0"""
403;nomEntreprise;Sopra Steria Recruitment
403;noteMoyEntreprise;4.0
403;avis0;"""0"""
406;nomEntreprise;CITECH
406;noteMoyEntreprise;4.6
406;avis0;"""0"""
406;avis1;"""1"""
420;nomEntreprise;alptis assurances
420;noteMoyEntreprise;3.4
420;avis0;"""0"""
420;avis1;"""1"""
428;nomEntreprise;Mixt Composites Recyclables
428;noteMoyEntreprise;4.0
428;avis0;"""0"""
435;nomEntreprise;Astek Group
435;noteMoyEntreprise;1.7
435;avis0;"""0"""
435;avis1;"""1"""
444;nomEntreprise;Yongzhi Plastic Electronics (Shenzhen) Co.
444;noteMoyEntreprise;3.0
444;avis0;"""0"""
452;nomEntreprise;Thales-Raytheon Systems
452;noteMoyEntreprise;3.0
452;avis0;"""0"""
455;nomEntreprise;L&T Thales Technology Services
455;noteMoyEntreprise;3.5
455;avis0;"""0"""
487;nomEntreprise;Open Minds Open Hearts Day Care
487;noteMoyEntreprise;2.0
487;avis0;"""0"""
504;nomEntreprise;Artefact Group
504;noteMoyEntreprise;3.9
504;avis0;"""0"""
508;nomEntreprise;Artefacts Studio
508;noteMoyEntreprise;4.6
508;avis0;"""0"""
513;nomEntreprise;Openfield Live
513;noteMoyEntreprise;2.4
513;avis0;"""0"""
513;avis1;"""1"""
513;avis2;"""2"""
520;nomEntreprise;D2SI
520;noteMoyEntreprise;4.0
520;avis0;"""0"""
520;avis1;"""1"""
520;avis2;"""2"""
534;nomEntreprise;GFI
534;noteMoyEntreprise;2.9
534;avis0;"""0"""
541;nomEntreprise;GFI Software
541;noteMoyEntreprise;2.2
541;avis0;"""0"""
541;avis1;"""1"""
544;nomEntreprise;GFI Group
544;noteMoyEntreprise;3.2
544;avis0;"""0"""
555;nomEntreprise;GFI Group
555;noteMoyEntreprise;3.2
555;avis0;"""0"""
565;nomEntreprise;GFI
565;noteMoyEntreprise;2.9
565;avis0;"""0"""
568;nomEntreprise;GFI Software
568;noteMoyEntreprise;2.2
568;avis0;"""0"""
568;avis1;"""1"""
589;nomEntreprise;LA REDOUTE
589;noteMoyEntreprise;0.0
589;avis0;"""0"""
598;nomEntreprise;Groupe NICOLLIN - Groupe VEOLIA
598;noteMoyEntreprise;3.0
598;avis0;"""0"""
